grid_id,x_coord,y_coord,year,count_31,count_32,count_33,count_total,cluster_n,is_cluster,value_added_31,labor_total_31,wages_total_31,machinery_31,computers_31,value_added_32,labor_total_32,wages_total_32,machinery_32,computers_32,value_added_33,labor_total_33,wages_total_33,machinery_33,computers_33,dist_usa_km,dist_cdmx_km,dist_port_km
14,918792.0295,1981649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.789804,2206.360175,1794.400332
14,918792.0295,1981649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,398.789804,2206.360175,1794.400332
14,918792.0295,1981649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.789804,2206.360175,1794.400332
15,918792.0295,1986649.062,2010,0,0,0,0,0,0,,,,,,,,,,,,,,,,394.2193322,2208.976264,1797.73574
15,918792.0295,1986649.062,2015,0,0,0,0,0,0,,,,,,,,,,,,,,,,394.2193322,2208.976264,1797.73574
15,918792.0295,1986649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,394.2193322,2208.976264,1797.73574
15,918792.0295,1986649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.2193322,2208.976264,1797.73574
16,918792.0295,1991649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.6594102,2211.600563,1801.078851
16,918792.0295,1991649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.6594102,2211.600563,1801.078851
16,918792.0295,1991649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,389.6594102,2211.600563,1801.078851
16,918792.0295,1991649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.6594102,2211.600563,1801.078851
17,923792.0295,1961649.062,2010,0,0,0,0,0,0,,,,,,,,,,,,,,,,415.2688421,2191.69634,1777.383521
17,923792.0295,1961649.062,2015,0,0,0,0,0,0,,,,,,,,,,,,,,,,415.2688421,2191.69634,1777.383521
17,923792.0295,1961649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,415.2688421,2191.69634,1777.383521
17,923792.0295,1961649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.2688421,2191.69634,1777.383521
18,923792.0295,1966649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.6382658,2194.284339,1780.694645
18,923792.0295,1966649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.6382658,2194.284339,1780.694645
18,923792.0295,1966649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,410.6382658,2194.284339,1780.694645
18,923792.0295,1966649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.6382658,2194.284339,1780.694645
19,923792.0295,1971649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.0164522,2196.880669,1784.013637
